YEAR, ISSUE, TIMESTAMP, STORY, OUTLINE, 
1947,50,238,4, Москва. Заседание VII Всесоюзного съезда физиологов. ,
1947,50,331,5," Конструкторы боевых кораблей Н. Исанин и В. Ашик в КБ, в цехе судостроительного завода. ",
1947,50,393,6," Работники Кировской селекционной станции на поле ржи, в яблочном хозяйстве. ",
1947,50,456,7, Молдавия. Сбор яблок в саду колхоза им. Котовского Бендерского уезда. ,
1947,50,580,8, Соревнования мастеров парусного спорта в финском заливе.,
1948,46,20,1," Вручение чрезвычайным посланником, полномочным министром Израиля Мейрсоном верительных грамот в Кремле.",
1948,46,94,2," Торжественное заседание в Центральном театре Советской армии, посвященное Дню танкистов. ",
1948,46,168,3,"Озеро Будъивр в Заполярье; Хибинские горы, г. Кировск; добыча апатитов в Хибинских горах. ",
1948,46,242,4,"Герой Социалистического Труда, колхозница чарджоуского колхоза им. Куйбышева (Туркмения) С. Джалилова на сборке хлопка в поле. ",
1948,46,391,5,"Памятные места в Ясной Поляне, связанные с Л.Толстым, могила писателя; посетители в музее Толстого. ",
1948,46,465,6,Передача подарков воспитанникам детского дома Горьковской области. ,
1948,46,539,7,"Военный парад в столице Народно-демократической Республике Корея в честь третьей годовщины освобождения Кореи советской армией от японцев, присутствует премьер-министр КНДР Ким-Ир-Сен.",
1949,11,20,1, Белоруссия. Делегаты в зале Государственного Минского театра на заседании XIX съезда большевиков Белоруссии. Секретарь ЦК КП(б) Белоруссии Гусаров выступает с отчетным докладом. ,
1949,11,123,2," Улицы, набережная, гостиница ""Москва"", метромост в Москве. ",
1949,11,158,3, Днепродзержинск. Рабочие в мартеновском цехе завода им. Дзержинского. Улицы города. ,
1949,11,296,4," Таджикистан. Оросительные каналы на поле колхоза им. Сталина в Таджикистане. Председатели колхозов им. Сталина и ""Большевик"" подписывают договор о социалистическом соревновании. ",
1949,11,468,5," Австрия. Митинг рабочих Вены, протестующих против введения ""Плана Маршалла"" на территории Австрии. Выступает лидер австрийских коммунистов Э. Фишер.",
1949,48,20,1,"Вид Московского завода им. Ильича, работы в цехах завода по выпуску электромоторов.",
1949,48,134,2,"Вид Челябинского трубопрокатного завода, прокатка труб в цехах.",
1949,48,211,3,Уборка сахарной свеклы в колхозе им. Ленина в Киевской области.,
1949,48,325,4,Выступление советского представителя А. Я. Вышинского на IV-ой сессии Генеральной Ассамблеи ООН.,
1949,48,401,5,"Митинги в защиту мира в гг. Бухаресте, Будапеште и польском городе Жешув.",
1950,28,20,1,"Кремль. Залы заседания первой сессии Верховного Совета СССР; участие в работе сессии И. В. Сталина, Л. М. Кагановича, Н. А. Булганина, А. А. Андреева, В. М. Молотова, Л. П. Берии и других. Выступление А. Г. Зверева на сессии.",
1950,28,160,2,Встреча в Москве премьер-министра Финляндии У. Кекконена.,
1950,28,300,3,"Уборка колосовых на полях туркменского колхоза ""Комсомол"".",
1950,28,415,4,"Вид, работы в цехах Уральского автомобильного завода имени Сталина. Комсомолка-контролер Россомахина.",
1950,28,490,5,Митинг и демонстрация в Берлине в честь общегерманского слета молодежи с участием В. Пика и Э. Хонеккера.,
1950,51,20,1,"Город Москва. Собрание в Академии наук СССР, посвященное обсуждению итогов Второй Всесоюзной конференции сторонников мира. Присутствуют: Т. Д. Лысенко, А. И. Опарин, А. Н. Туполев, С. И. Вавилов.",
1950,51,109,2,Строительство Куйбышевской гидроэлектростанции. Движение судов по реке Волге.,
1950,51,169,3,"Латвия. Производственные процессы на заводе ""Радиотехника"" в г. Риге.",
1950,51,228,4,"Мордовия. Город Саранск. Автобус передвижной библиотеки Центральной библиотеки города движется по улице г. Саранска, в селе Старо-Шайгово. Библиотекарь обслуживает читателей.",
1950,51,348,5,"Узбекистан. Ферганская долина. Уборка хлопка, строительство кишлака. Южно-Ферганский канал.",
1950,51,467,6,Город Москва. Вечер Дагестанского искусства в концертном зале им. П. И. Чайковского.,
1950,51,526,7,"Китай. Торжества, посвященные годовщине образования КНР. Демонстрация. Мао Цзедун (крупный план).",
1951,42,20,1,Московская областная конференция сторонников мира в Колонном зале Дома Союзов.,
1951,42,110,2,Город Москва. Ученицы 201-ой средней школы собирают фрукты в школьном саду. Занятия в школе первого сентября. Первоклассники получают учебники и яблоки из школьного сада.,
1951,42,260,3,Строительство Волго-Донского канала. Строительство Цимлянской ГЭС.,
1951,42,360,4,Курорт Евпатория на Крымском побережье Черного моря. Дети на лечении и отдыхе.,
1951,42,460,5,"Румыния. Город Бухарест. Торжества, посвященные 7-ой годовщине освобождения Румынии.",
1951,58,20,1,Ленинградский металлический завод им. Сталина. Конструкторы и рабочие за работой в процессе создания паровой турбины.,
1951,58,108,2,Строительство Куйбышевской ГЭС. Новая железная дорога.,
1951,58,166,3,"Баку. Улицы, здания, площади, парки города. Строительство зданий. Архитекторы за работой.",
1951,58,243,4,"Охотское море. Плавучий крабоконсервный завод ""Всеволод Сибирцев"" в море. Ловля, обработка, консервация крабов.",
1951,58,350,5,"Москва. Пятый пленум Союза композиторов.  Вечер песни в Колонном зале Дома Союзов. Присутствуют: Т. Н. Хренников, И. Дунаевский, С. Туликов, А. Новиков и др. ",
1951,58,540,6,Египет. Суэцкий канал. Военный лагерь английских властей.,
1953,30,20,1,"Конец учебного года. Пионеры Москвы идут по Красной площади. Дети едут в пионерский лагерь в поезде, на пароходе, в автобусе.",
1953,30,130,2,Строительство шлюзового канал Сталинградского гидроузла.,
1953,30,200,3,"г. Красноводск - порт на Каспийском море в Туркмении, суда в порту, погрузка пшеницы, хлопка.",
1953,30,290,4,"Петр Величковский из Алма-Аты построил управляемую модель самолета, демонстрация модели.",
1953,30,360,5,"Рабочий Московского автозавода им. И.В. Сталина Поповкин и его жена празднуют ""золотую свадьбу"" во Дворце культуры.",
1953,30,490,6,"Строительство метрополитена в Будапеште. На заводе ""Ганц"" делают вагоны, испытание вагона.",
1953,45,20,1, Заседание пленума Советского Комитета защиты мира в Октябрьском зале Дома Союзов. ,
1953,45,129,2," Раменский район Московской области: новые постройки в колхозе, скотный двор, механическая дойка. ",
1953,45,238,3, Добыча угля новым гидравлическим способом на шахте в Ленинск-Кузнецке. Обогатительная фабрика. ,
1953,45,401,4, Новый санаторий для шахтеров в Цхалтубо. ,
1953,45,510,5," г. Кесон в Корее, демилитаризованная зона. Обмен военнопленных солдат из США на пленных солдат Северной Кореи, раненых увозят в госпиталь.",
1953,59,20,1,"Празднование 36-ой годовщины Октябрьской революции. Стоят войска на Красной площади, Манеже. Иностранные делегации на гостевых трибунах. На Мавзолее руководители партии и правительства: К.Ворошилов, Г.Маленков, В.Молотов, Н.Хрущев. Командующий парадом Москаленко отдает рапорт министру обороны Н.Булганину. Объезд войск, выступает Н.Булганин. Парад войск на Красной площади, парад физкультурников. По площади проходят колонны демонстрантов.",
1954,1,20,1,"Новогодний репортаж. Мультработа – Спасская башня, куранты.",
1954,1,66,2, Железнодорожный состав в пути. Машинист поезда депутат Верховного Совета СССР В.Блаженов рассказывает о планах работы железнодорожников на 1954 год (синхронно). ,
1954,1,111,3, Азовская МТС. Сельскохозяйственная техника. Интервью инженера М.Маврина о подготовке к весенне-полевым работам 1954г. (синхронно). ,
1954,1,157,4," Офтальмолог, профессор Одесского Института глазных болезней В.Филатов в операционной. Интервью В.Филатова (синхронно). ",
1954,1,202,5," Товарищеские соревнования конькобежцев СССР и Норвегии – зрители на трибунах, моменты соревнований, победный финиш советского конькобежца Б.Шилкова. Интервью Б.Шилкова (синхронно). ",
1954,1,248,6, Гроссмейстер В.Смыслов за шахматной доской во время подготовки к матчу на первенство мира. Интервью В.Смыслова (синхронно). ,
1954,1,294,7, Свиноферма латвийского колхоза имени Сталина. Работает свинарка А.Залцмане. Свиноматка с поросятами. А.Залцмане рассказывает (синхронно на латвийском языке) о своих трудовых планах на 1954 год. ,
1954,1,385,8," Аплодирующая публика в зрительном зале театра имени Моссовета. Актеры на сцене раскланиваются (среди них – Р.Плятт, В.Марецкая). Народная артистка СССР В.П.Марецкая в гримерной театра делится своими впечатлениями о гастролях театра в Болгарии и Румынии, рассказывает о своих творческих планах на 1954 год (синхронно). ",
1954,1,453,9, Цех Московской шерстопрядильной фабрики имени Калинина. Работают прядильщицы и бригадир-новатор С.Котова. Интервью С.Котовой (синхронно). ,
1954,1,545,10,"Новогодний молодежный бал-маскарад в Большом Кремлевском дворце. Среди участников карнавала - клоун Карандаш, народный артист СССР И.Козловский. Праздничный концерт, танцы.",
1954,2,20,1,"Открытие ГУМа. Внешний и внутренний виды ГУМа, покупатели. Женщины рассматривают модели обуви в витрине, мужчина примеряет обувь. Покупатели в разных отделах магазина. Салон дамской одежды, примерочные. Женщины примеряют платья, пальто, шубы. Отдел детской одежды. Покупатели в продуктовом отделе ГУМа. ",
1954,2,190,2,"Здание театра имени Горького в Туле. 12-ый тираж выигрышей Государственного  2-х процентного займа 1948 года. Члены тиражной комиссии проводят розыгрыш: крутятся «колеса» лотереи, дети достают «патроны» с билетами, табло с результатами тиража. Публика в зале. Выплата выигрышей по облигациям в сберкассе. ",
1954,2,322,3,"Уникальный карусельный станок-гигант, созданный на Коломенском заводе тяжелого машиностроения. ",
1954,2,360,4,Международная товарищеская встреча хоккейных команд «Динамо» (Москва) и «Аик» (Швеция). Моменты игры. Счет матча 4:0 в пользу «Динамо». ,
1954,2,436,5,Празднование «серебряной свадьбы» в семье московского рабочего Клемнова. За праздничным столом – юбиляры и их 11 детей. ,
1954,2,493,6,Забастовка на кожевенной фабрике в Вене. Пикеты у здания фабрики. Поступление в забастовочный комитет средств помощи бастующим рабочим. Заседание забастовочного комитета. Рабочие Вены собирают новогодние подарки для детей бастующих. Члены комитета раздают бастующим подарки для детей.,
1954,3,20,1,"Встреча в аэропорту Внуково китайских журналистов, прибывших в Москву по приглашению редакции газеты «Правда». С приветственным словом выступает главный редактор газеты «Правда» Д.Т.Шепилов (синхронно). ",
1954,3,72,2,"Выпуск издательством Академии Наук СССР трехтомного сборника документов и материалов «Воссоединение Украины с Россией». Работают печатные машины, брошюровка. Иллюстрации издания. ",
1954,3,142,3,"Передовой совхоз Подмосковья ""Горки вторые"". Проходит стадо коров. Коровы на ферме, лечебная профилактика коров ультрафиолетовыми лучами. Бригадир В.Н.Чванов и доярки раскладывают силос в кормушки. Дойка коров. Разговаривают доярки, среди них Герои Социалистического Труда: В.Н.Чванов, Н.Комарова, А.А.Синенкова,  Ф.В. Старшинкова. Молочный завод совхоза. ",
1954,3,299,4,"Выставка венгерского народного и прикладного искусства в Историческом музее Москвы. Экспонаты выставки, посетители. ",
1954,3,351,5,"Балхаш – молодой город медеплавильщиков Казахстана. Здания, улицы города. Новый детский сад, воспитатели, дети играют в «доктора». Столовая, девочка расставляют тарелки, раскладывают ложки. Дети обедают. ",
1954,3,456,6,"Торжественный спуск на верфи в Хельсинки ледокола «Капитан Белоусов», построенного для Советского Союза. На церемонии присутствуют премьер-министр Финляндии Эркки Туомиоя и министр внешней торговли СССР И.Г.Кабанов. ",
1954,3,508,7,"Кружки крестьянской молодежи, созданные в Персу (Индия). Молодежь и дети под руководством специалистов учатся выращивать овощи и фрукты, изучают основы агрономических знаний и животноводства. ",
1954,3,560,8,"Китай, Тибетское плоскогорье. Строительство Сикан-Тибетской шоссейной дороги в горах.",
1954,4,20,1,"Праздничный вечер передовиков Москвы и области в Георгиевском зале Большого Кремлевского Дворца. На заседании выступают - председатель Московского городского совета профсоюзов Крестьянинов, машинист В.Блаженов (синхронно), народная артистка СССР Е.Гоголева (синхронно). Присутствующие слушают, аплодируют. Бал. ",
1954,4,98,2,"Выставка работ художников Литвы в Вильнюсе. Экспозиция выставки: картины, скульптуры, керамика, куклы. Посетители, экскурсовод в зале выставки. ",
1954,4,160,3,"Витебская чулочно-трикотажная фабрика «КИМ». Соревнование за увеличение выпуска продукции. Работают ткачихи. Трикотажный цех, работает ткачиха В.Крюкова. Чулочный цех фабрики, работает А.Богданова. Готовая продукция: чулки, носки. Вышивальный цех, работают новые вышивальные машины. Работницы упаковывают готовую продукцию. Продукция предприятия: женское белье, трикотажные изделия. ",
1954,4,316,4,Выращивание овощей в теплично-парниковом комбинате Анжерского совхоза Кемеровской области. Подготовка торфяно-перегнойных горшочков для рассады. ,
1954,4,363,5,"Масложировой комбинат имени А.Микояна в г.Ворошилове Приморского края. Производство сливочного и столового маргарина, рафинированного растительного масла. ",
1954,4,410,6,"Новые дома в Измайловском районе Москвы, построенные молодыми строителями, окончившими 23-ью школу фабрично-заводского обучения строителей (ФЗО). Занятия в разных классах ФЗО: ребята осваивают профессии плотника, столяра, каменщика. Производственная практика: учащиеся работают на строительстве многоэтажного дома на Дорогомиловской набережной. ",
1954,4,472,7,"Птичий заповедник в прикаспийской пустыне Туркмении. Фламинго, дикие утки и другие виды птиц, прилетевших на зимовку. Орнитологическая станция в поселке Гаслан-Кули. Изготовление чучел редких птиц для МГУ. Орнитологи проводят кольцевание птиц. ",
1954,4,581,8,"Спортивный праздник в городе Улан-хото автономной области Китая (внутренней Монголии)- бег, стрельба из лука, борьба, скачки.",
1954,5,20,1,"Торжественно-траурное заседание в Большом театре Союза ССР, посвященное 30-ой годовщине со дня смерти В.И.Ленина. Выступает Н.С.Хрущев (синхронно). Минута молчания. В президиуме заседания -В.М.Молотов, Л.М.Каганович, Г.М.Маленков, К.Е.Ворошилов и другие. Выступает секретарь ЦК КПСС П.Н.Поспелов (синхронно). ",
1954,5,148,2,"Мингечаурская ГЭС в Азербайджане – общ., панорама. Город строителей Мингечаур, Мингечаурское море. Торжественный пуск первой очереди ГЭС. Пульт управления ГЭС. Смотрят директор ГЭС Алиев и главный инженер станции Милютин. Пуск воды, работает турбина. ",
1954,5,255,3,"Выставка сельскохозяйственной книги в Политехническом музее Москвы. Экспозиция выставки. Передовики сельского хозяйства у стендов выставки, среди них – Герои Социалистического Труда В.И.Дианова, В.А.Буцевич. Профессор Лаптев знакомит посетителей с пособиями по экономике и организации колхозного производства. Прием заказов в отделе «Книга – почтой». Посетители покупают книги в киосках выставки. ",
1954,5,404,4,"Маргеланский шелковый комбинат в Узбекистане. Художники работают над созданием новых рисунков для ткани. Цех набивных тканей, рисунки переносятся на ткань. Заседание художественного совета, главный инженер Шаповалова показывает новинки производства. Маленькая девочка и манекенщица демонстрируют платья, сшитые из новой ткани. Члены худсовета рассматривают ткани с различными рисунками. Стенд с маргеланскими шелками. ",
1954,5,574,5,"Выставка в Софии работ болгарских художников и скульпторов. На выставке представлены работы, созданные в 1953 году.",
1954,6,20,1," Совещание в Берлине министров иностранных дел четырех держав: СССР, Франции, Англии и США. Проходят, садятся члены советской делегации во главе с министром иностранных дел СССР В.М.Молотовым. Делегации Франции, Англии, США. В.М.Молотов зачитывает проект программы по ослаблению международной напряженности и обеспечению безопасности в Европе. Участники совещания слушают. ",
1954,6,115,2, Производство в цехах Ленинградского металлического завода имени Сталина гигантской гидротурбины для Куйбышевской ГЭС. ,
1954,6,147,3," Выпуск продукции в цехах московской парфюмерной фабрики ""Свобода"" – производство зубной пасты, вазелина, туалетного мыла. Химическая лаборатория фабрики. Инженеры-химики Е.С.Дмитриева и Г.А.Бородина разрабатывают рецептуру новых сортов мыла. Академик П.А.Ребиндер и профессор Д.А.Рождественский консультируют фабричных химиков. Директор фабрики И.Аратов демонстрирует ученым новые образцы продукции: «плавающее» мыло, мыло для морской воды («курортное мыло»), фигурное мыло для детей. Маленькая девочка моется в тазике, мылит голову. ",
1954,6,259,4," Новый профсоюзный дом отдыха в Октябрьском ущелье близ Саратова. Здание дома отдыха – общ. Отдыхающие в номере, в столовой, в читальне. Игра в бильярд. Женщина играет на гитаре, мужчина – на аккордеоне. Лыжная прогулка. ",
1954,6,370,5, Государственный оперный театр г.Вильнюса. Премьера балета композитора Ю.Юзелюнаса «На берегу моря». Зрители в зале. Сцены из спектакля (синхронно). ,
1954,6,449,6," Сбор в ГДР подписей под обращением к министрам иностранных дел СССР, Франции, Англии и США (участникам предстоящей Берлинской встречи) о необходимости участия в конференции представителей двух частей Германии, о мирном разрешении германского вопроса и создании единой демократической независимой Германии. ",
1954,6,481,7," Франция, г.Марсель – панорама с верхней точки, пристань, улица. Сбор подписей против перевооружения Западной Германии и создания «Европейской Армии».",
1954,7,20,1," Кремль. Всесоюзное совещание работников машинно-тракторных станций, посвященное выполнению решений сентябрьского пленума ЦК КПСС. Делегаты в зале, президиум собрания. Выступает министр сельского хозяйства СССР И.А.Бенедиктов. Среди членов президиума – академик Т.Лысенко. Выступает Н.С.Хрущев. ",
1954,7,142,2," Первый курьерский поезд ""Москва-Пекин"" на Ярославском вокзале. Комфортабельные купе, туалет. Проводники поезда разговаривают по-китайски (синхронно). Радиоузел поезда. Представители посольства КНР, работники Министерства путей сообщения и Министерства иностранных дел на перроне. Пассажиры предъявляют билеты, заходят в вагон. Среди пассажиров - китайские студенты, советские специалисты, направляющиеся на работу в Китай. Отправление поезда. ",
1954,7,324,3," Торжественная встреча в Дели чрезвычайного и полномочного посла СССР в Индии М.А.Меньшикова. М.А.Меньшиков вручает верительные грамоты президенту Индии Р.Прасаду, представляет сотрудников СССР в Индии. ",
1954,7,365,4," Измайловский комбинат декоративного цветоводства. Цветы в оранжерее – цикламены, альпийские фиалки, сирень. Специальное освещение. Работники комбината ухаживают за растениями. Цветочный магазин. Покупатели выбирают букеты. ",
1954,7,507,5," Студенческий бал в Кремле в дни студенческих каникул. Участники вечера танцуют, веселятся. Праздничный концерт – выступают солисты балета ГАБТ Филиппова и Власов, артисты Государственного ансамбля народного танца Союза СССР, жонглер, самодеятельные танцевальные коллективы. Студенты за столиками пьют шампанское, вино. Карнавальное шествие участников бала.",
1954,8,20,1," Всесоюзное совещание работников совхозов. Делегаты идут к зданию Большого Кремлевского Дворца. Делегаты в зале заседаний аплодисментами приветствуют президиум. В президиуме – Н.С.Хрущев, А.Микоян, Г.Маленков и другие. С докладом о ходе выполнений решений сентябрьского пленума ЦК КПСС выступает министр совхозов СССР А.И. Козлов. Крупные планы делегатов в зале. Н.С.Хрущев выступает на заключительном заседании совещания. Делегаты аплодируют стоя. ",
1954,8,166,2," Строительство Куйбышевской ГЭС в сложных зимних условиях. Монтаж нижних судоходных шлюзов, арматуры. Сооружение нового автоматизированного бетонного завода, резервуары для цемента. Монтаж канатно-подвесной дороги через Волгу. Панорама по строительству ГЭС. ",
1954,8,275,3," Торжественная встреча в Пекине чрезвычайного и полномочного посла СССР в КНР П.Ф.Юдина. П.Юдин вручает верительные грамоты главе правительства КНР Мао Цзэдуну, представляет состав советского посольства. ",
1954,8,330,4," Подготовка к весенним работам сельскохозяйственной техники на Каширской машинно-тракторной станции. Работа в лаборатории и мастерских МТС. Обкатка отремонтированного трактора, техника в гаражах. ",
1954,8,384,5," Лесопункт «Восточный» в Иркутской области. Работают лесорубы, падают спиленные деревья. Трактор транспортирует древесину к железной дороге. Проезжают составы с лесом – разные планы. ",
1954,8,475,6, Южный порт Москвы. Пробный рейс по Москве-реке ледокола РБТ-52 – самого маленького ледокольного судна в стране. Капитан судна Рогозин у штурвала. ,
1954,8,548,7," Выступление Государственного ансамбля Армянской народной песни и пляски в концертном зале имени Чайковского. Фрагмент хореографической картины «Советская Родина» (синхронно). Зрители в зале смотрят, аплодируют.",
1954,9,20,1," 50-летия боя русского крейсера «Варяг» и канонерской лодки «Кореец» с японской эскадрой. Гостиница «Москва» - общ. Ветераны-моряки крейсера у макетов кораблей. Портрет капитана корабля В.Ф.Руднева. Бывшие матросы крейсера «Варяг» возлагают венок на могилу В.Руднева в селе Савино. Торжественное заседание в Центральном доме Советской Армии. В президиуме - адмирал флота Н.Г.Кузнецов, С.М.Буденный, ветераны - члены экипажа крейсера «Варяг». Выступают - Н.Г. Кузнецов, ветераны-моряки: Ф.Ф.Семенов, С.Д.Крылов. ",
1954,9,161,2," Новгород – улица, Новгородский Кремль. Восстановленный памятник Тысячелетие России. Детали памятника: скульптурные изображения Петра I, А.В.Суворова, Минина и Пожарского, Ивана Сусанина, Богдана Хмельницкого, А.Пушкина, М.Лермонтова, Н.Гоголя и другие. ",
1954,9,224,3," 30-летие Витебского ветеринарного института. Профессора и студенты на занятиях в аудитории, в лаборатории; на практике - в коровнике. Ветеринарная клиника института – физиотерапевтическое и рентгеновское отделения. ",
1954,9,286,4, Новая программа в Рижском Государственном цирке – с группой уссурийских тигров выступает заслуженный артист РСФСР дрессировщик  А. Александров. ,
1954,9,334,5," Китай - ввод в эксплуатацию новых объектов на Аньшанском металлургическом комбинате: реконструированная доменная печь, автоматизированный рельсобалочный и трубопрокатный цеха. Производственные процессы. Советская техника на заводе. ",
